조 번호,조항 번호,조(키워드),요약 내용,통합 내용
제1조,제1조,제1조(목적),"헌법에 따라 근로자의 기본적 생활을 보장하고 향상시킬 목적으로 근로조건의 기준을 정하며, 사용자는 이를 반드시 준수해야 한다.","제1조(목적) 헌법에 따라 근로자의 기본적 생활을 보장하고 향상시킬 목적으로 근로조건의 기준을 정하며, 사용자는 이를 반드시 준수해야 한다."
제2조,제2조 1항 1호,제2조(근로자),"직업 종류와 관계없이 임금을 목적으로 근로를 제공하는 자를 말하며, 계약 형식보다 실질적 근로 제공 여부를 중시해야 한다.","제2조(근로자) 직업 종류와 관계없이 임금을 목적으로 근로를 제공하는 자를 말하며, 계약 형식보다 실질적 근로 제공 여부를 중시해야 한다."
제2조,제2조 1항 2호,제2조(사용자),사업주나 경영 담당자 등 근로자에 관한 사항에 대해 사업주를 위해 행위하는 자는 사용자로서의 법적 책임을 회피할 수 없다.,제2조(사용자) 사업주나 경영 담당자 등 근로자에 관한 사항에 대해 사업주를 위해 행위하는 자는 사용자로서의 법적 책임을 회피할 수 없다.
제2조,제2조 1항 3호,제2조(근로),"근로란 정신노동과 육체노동을 모두 포함하며, 사용자는 어떤 형태의 노동에 대해서도 이 법에 따른 보호 의무를 다해야 한다.","제2조(근로) 근로란 정신노동과 육체노동을 모두 포함하며, 사용자는 어떤 형태의 노동에 대해서도 이 법에 따른 보호 의무를 다해야 한다."
제2조,제2조 1항 4호,제2조(근로계약),"근로 제공과 임금 지급을 목적으로 하는 계약으로, 사용자는 일방적인 봉사나 무상 노동을 강요하는 계약을 체결할 수 없다.","제2조(근로계약) 근로 제공과 임금 지급을 목적으로 하는 계약으로, 사용자는 일방적인 봉사나 무상 노동을 강요하는 계약을 체결할 수 없다."
제2조,제2조 1항 5호,제2조(임금),"사용자가 근로의 대가로 지급하는 모든 금품을 말하며, 명칭과 관계없이 임금으로서의 성격을 임의로 부정하거나 지급을 거부 못 한다.","제2조(임금) 사용자가 근로의 대가로 지급하는 모든 금품을 말하며, 명칭과 관계없이 임금으로서의 성격을 임의로 부정하거나 지급을 거부 못 한다."
제2조,제2조 1항 6호,제2조(평균임금),"사유 발생 전 3개월간 지급된 임금 총액을 총 일수로 나눈 금액이며, 법정 수당 산정 시 이 기준을 임의로 낮게 책정할 수 없다.","제2조(평균임금) 사유 발생 전 3개월간 지급된 임금 총액을 총 일수로 나눈 금액이며, 법정 수당 산정 시 이 기준을 임의로 낮게 책정할 수 없다."
제2조,제2조 1항 7호,제2조(1주),"1주란 휴일을 포함한 7일을 말하며, 사용자는 주말이나 휴일 근로를 근로시간 산정에서 임의로 제외하거나 누락해서는 안 된다.","제2조(1주) 1주란 휴일을 포함한 7일을 말하며, 사용자는 주말이나 휴일 근로를 근로시간 산정에서 임의로 제외하거나 누락해서는 안 된다."
제2조,제2조 1항 8호,제2조(소정근로시간),"법정 범위 내에서 근로자와 사용자가 합의한 근로시간을 말하며, 사용자는 이를 초과하는 근로를 합의 없이 강요할 수 없다.","제2조(소정근로시간) 법정 범위 내에서 근로자와 사용자가 합의한 근로시간을 말하며, 사용자는 이를 초과하는 근로를 합의 없이 강요할 수 없다."
제2조,제2조 1항 9호,제2조(단시간근로자),"1주 소정근로시간이 통상 근로자보다 짧은 자를 말하며, 사용자는 이들에 대해 합리적 이유 없는 차별적 처우를 할 수 없다.","제2조(단시간근로자) 1주 소정근로시간이 통상 근로자보다 짧은 자를 말하며, 사용자는 이들에 대해 합리적 이유 없는 차별적 처우를 할 수 없다."
제2조,제2조 2항,제2조(하한 설정),산출된 평균임금이 통상임금보다 적으면 반드시 통상임금을 평균임금으로 적용하여 지급해야 할 의무가 있다.,제2조(하한 설정) 산출된 평균임금이 통상임금보다 적으면 반드시 통상임금을 평균임금으로 적용하여 지급해야 할 의무가 있다.
제3조,제3조,제3조(기준 최저성),"이 법의 근로조건은 최저기준이므로, 사용자는 이 법을 핑계로 기존의 근로조건을 종전보다 낮게 변경할 수 없다.","제3조(기준 최저성) 이 법의 근로조건은 최저기준이므로, 사용자는 이 법을 핑계로 기존의 근로조건을 종전보다 낮게 변경할 수 없다."
제4조,제4조,제4조(자유 결정),"근로조건은 근로자와 사용자가 대등한 지위에서 결정해야 하며, 사용자는 우월적 지위를 이용하여 조건을 강요해서는 안 된다.","제4조(자유 결정) 근로조건은 근로자와 사용자가 대등한 지위에서 결정해야 하며, 사용자는 우월적 지위를 이용하여 조건을 강요해서는 안 된다."
제5조,제5조,제5조(준수 의무),"사용자는 단체협약, 취업규칙, 근로계약을 성실히 이행해야 하며, 계약된 내용을 일방적으로 파기하거나 어길 수 없다.","제5조(준수 의무) 사용자는 단체협약, 취업규칙, 근로계약을 성실히 이행해야 하며, 계약된 내용을 일방적으로 파기하거나 어길 수 없다."
제6조,제6조,제6조(균등 처우),"성별, 국적, 신앙, 신분을 이유로 근로조건에 대한 차별적 대우를 금지하며, 사용자는 모든 근로자를 평등하게 처우해야 한다.","제6조(균등 처우) 성별, 국적, 신앙, 신분을 이유로 근로조건에 대한 차별적 대우를 금지하며, 사용자는 모든 근로자를 평등하게 처우해야 한다."
제7조,제7조,제7조(강제근로 금지),"폭행, 협박, 감금 등 자유를 구속하는 수단으로 근로자의 의사에 반하는 근로를 강요하는 행위를 엄격히 금지한다.","제7조(강제근로 금지) 폭행, 협박, 감금 등 자유를 구속하는 수단으로 근로자의 의사에 반하는 근로를 강요하는 행위를 엄격히 금지한다."
제8조,제8조,제8조(폭행 금지),"사고 발생이나 어떤 이유로도 사용자는 근로자에게 폭행을 가할 수 없으며, 이를 위반하는 신체적 억압은 절대 금지된다.","제8조(폭행 금지) 사고 발생이나 어떤 이유로도 사용자는 근로자에게 폭행을 가할 수 없으며, 이를 위반하는 신체적 억압은 절대 금지된다."
제9조,제9조,제9조(중간착취 배제),누구든지 법률에 따르지 않고는 영리로 타인의 취업에 개입하거나 중간 이익을 취득할 수 없으며 이를 통한 착취를 금한다.,제9조(중간착취 배제) 누구든지 법률에 따르지 않고는 영리로 타인의 취업에 개입하거나 중간 이익을 취득할 수 없으며 이를 통한 착취를 금한다.
제10조,제10조,제10조(공민권 보장),선거권 등 공민권 행사나 공적 직무를 위해 근로자가 시간을 청구하면 사용자는 거부할 수 없으며 이를 보장해야 한다.,제10조(공민권 보장) 선거권 등 공민권 행사나 공적 직무를 위해 근로자가 시간을 청구하면 사용자는 거부할 수 없으며 이를 보장해야 한다.
제11조,제11조 1항,제11조(적용 범위),"상시 5명 이상의 근로자를 사용하는 모든 사업장에 적용하며, 사용자는 법적 의무 적용을 회피하기 위해 인원을 허위 산정 못 한다.","제11조(적용 범위) 상시 5명 이상의 근로자를 사용하는 모든 사업장에 적용하며, 사용자는 법적 의무 적용을 회피하기 위해 인원을 허위 산정 못 한다."
제11조,제11조 2항,제11조(4인 이하),"상시 4명 이하 사업장에도 대통령령이 정하는 주요 규정을 적용하며, 사용자는 소규모 사업장임을 이유로 모든 법을 무시할 수 없다.","제11조(4인 이하) 상시 4명 이하 사업장에도 대통령령이 정하는 주요 규정을 적용하며, 사용자는 소규모 사업장임을 이유로 모든 법을 무시할 수 없다."
제11조,제11조 3항,제11조(인원 산정),"상시 근로자 수 산정 방법은 법정 기준을 따라야 하며, 사용자는 인원수를 임의로 조정하여 법 적용을 탈피할 수 없다.","제11조(인원 산정) 상시 근로자 수 산정 방법은 법정 기준을 따라야 하며, 사용자는 인원수를 임의로 조정하여 법 적용을 탈피할 수 없다."
제12조,제12조,제12조(국가 등 적용),"국가, 지자체 등 공공기관도 사용자의 지위에서 이 법을 반드시 준수해야 하며 근로자 보호 의무에서 예외가 될 수 없다.","제12조(국가 등 적용) 국가, 지자체 등 공공기관도 사용자의 지위에서 이 법을 반드시 준수해야 하며 근로자 보호 의무에서 예외가 될 수 없다."
제13조,제13조 1항 1호,제13조(보고 의무),사용자는 고용노동부장관이나 노동위원회의 요구가 있을 시 법 시행에 관한 사항을 사실대로 보고하고 출석해야 할 의무가 있다.,제13조(보고 의무) 사용자는 고용노동부장관이나 노동위원회의 요구가 있을 시 법 시행에 관한 사항을 사실대로 보고하고 출석해야 할 의무가 있다.
제13조,제13조 1항 2호,제13조(감독관 요구),사용자는 근로감독관의 요구에 응하여 필요한 보고를 하거나 서류를 제출해야 하며 이를 거부하거나 허위 보고할 수 없다.,제13조(감독관 요구) 사용자는 근로감독관의 요구에 응하여 필요한 보고를 하거나 서류를 제출해야 하며 이를 거부하거나 허위 보고할 수 없다.
제14조,제14조 1항,제14조(법령 게시),"법령 요지와 취업규칙을 상시 게시하여 근로자가 자유롭게 열람하게 해야 하며, 사용자는 이를 숨기거나 제한할 수 없다.","제14조(법령 게시) 법령 요지와 취업규칙을 상시 게시하여 근로자가 자유롭게 열람하게 해야 하며, 사용자는 이를 숨기거나 제한할 수 없다."
제14조,제14조 2항,제14조(기숙사 게시),"기숙사에 거주하는 근로자를 위해 관련 규정을 기숙사에 상시 게시해야 하며, 사용자는 주거 권리 보호 규정을 공지할 의무가 있다.","제14조(기숙사 게시) 기숙사에 거주하는 근로자를 위해 관련 규정을 기숙사에 상시 게시해야 하며, 사용자는 주거 권리 보호 규정을 공지할 의무가 있다."
제15조,제15조 1항,제15조(위반 계약),"법정 기준에 미달하는 근로조건을 정한 근로계약은 그 부분에 한해 무효이며, 사용자는 법보다 불리한 조건을 강제할 수 없다.","제15조(위반 계약) 법정 기준에 미달하는 근로조건을 정한 근로계약은 그 부분에 한해 무효이며, 사용자는 법보다 불리한 조건을 강제할 수 없다."
제15조,제15조 2항,제15조(법정 기준 적용),"근로계약 중 무효가 된 부분은 이 법이 정한 기준을 강제 적용하며, 사용자는 무효를 핑계로 근로조건을 공백으로 둘 수 없다.","제15조(법정 기준 적용) 근로계약 중 무효가 된 부분은 이 법이 정한 기준을 강제 적용하며, 사용자는 무효를 핑계로 근로조건을 공백으로 둘 수 없다."
제16조,제16조,제16조(계약 기간),기간을 정하지 않거나 사업 완료에 필요한 경우 외에 계약 기간은 1년을 초과할 수 없으며 이를 통한 장기 구속을 금지한다.,제16조(계약 기간) 기간을 정하지 않거나 사업 완료에 필요한 경우 외에 계약 기간은 1년을 초과할 수 없으며 이를 통한 장기 구속을 금지한다.
제17조,제17조 1항,제17조(임금),"사용자는 근로계약 체결 및 변경 시 임금의 구성항목, 계산방법, 지급방법을 명확히 명시해야 할 의무가 있다.","제17조(임금) 사용자는 근로계약 체결 및 변경 시 임금의 구성항목, 계산방법, 지급방법을 명확히 명시해야 할 의무가 있다."
제17조,제17조 1항,제17조(시간),"소정근로시간을 계약 시 명확히 명시해야 하며, 사용자는 명시되지 않은 근로를 근로자의 동의 없이 강요할 수 없다.","제17조(시간) 소정근로시간을 계약 시 명확히 명시해야 하며, 사용자는 명시되지 않은 근로를 근로자의 동의 없이 강요할 수 없다."
제17조,제17조 1항,제17조(휴일),"주휴일 등 휴일에 관한 사항을 반드시 명시해야 하며, 사용자는 법정 휴일을 임의로 취소하거나 무급 처리할 수 없다.","제17조(휴일) 주휴일 등 휴일에 관한 사항을 반드시 명시해야 하며, 사용자는 법정 휴일을 임의로 취소하거나 무급 처리할 수 없다."
제17조,제17조 1항,제17조(연차),"연차 유급휴가에 관한 사항을 명시해야 하며, 사용자는 법정 연차 권리를 계약서에서 누락하거나 포기를 강요할 수 없다.","제17조(연차) 연차 유급휴가에 관한 사항을 명시해야 하며, 사용자는 법정 연차 권리를 계약서에서 누락하거나 포기를 강요할 수 없다."
제17조,제17조 1항,제17조(기타),"취업 장소, 종사 업무 등 대통령령으로 정하는 주요 근로조건을 명시해야 하며 이를 임의로 변경하여 불이익을 줄 수 없다.","제17조(기타) 취업 장소, 종사 업무 등 대통령령으로 정하는 주요 근로조건을 명시해야 하며 이를 임의로 변경하여 불이익을 줄 수 없다."
제17조,제17조 2항,제17조(서면 교부),"명시된 근로조건이 담긴 서면을 근로자에게 반드시 교부해야 하며, 사용자는 서면 교부 없이 구두 계약만으로 갈음할 수 없다.","제17조(서면 교부) 명시된 근로조건이 담긴 서면을 근로자에게 반드시 교부해야 하며, 사용자는 서면 교부 없이 구두 계약만으로 갈음할 수 없다."
제18조,제18조 1항,제18조(단시간 조건),"단시간근로자의 조건은 통상 근로자의 시간을 기준으로 비례 산정해야 하며, 사용자는 불합리한 비율로 조건을 깎을 수 없다.","제18조(단시간 조건) 단시간근로자의 조건은 통상 근로자의 시간을 기준으로 비례 산정해야 하며, 사용자는 불합리한 비율로 조건을 깎을 수 없다."
제18조,제18조 2항,제18조(결정 기준),"단시간근로자의 근로조건 결정 기준은 대통령령을 따라야 하며, 사용자는 자의적인 기준으로 조건을 결정할 수 없다.","제18조(결정 기준) 단시간근로자의 근로조건 결정 기준은 대통령령을 따라야 하며, 사용자는 자의적인 기준으로 조건을 결정할 수 없다."
제18조,제18조 3항,제18조(적용 제외),"1주 소정근로시간이 15시간 미만인 자에게는 주휴일과 연차휴가 규정을 적용하지 않으나, 그 외의 법규정은 준수해야 한다.","제18조(적용 제외) 1주 소정근로시간이 15시간 미만인 자에게는 주휴일과 연차휴가 규정을 적용하지 않으나, 그 외의 법규정은 준수해야 한다."
제19조,제19조 1항,제19조(조건 위반),명시된 조건이 사실과 다르면 근로자는 손해배상을 청구하거나 계약을 즉시 해제할 수 있으며 사용자는 이를 방해할 수 없다.,제19조(조건 위반) 명시된 조건이 사실과 다르면 근로자는 손해배상을 청구하거나 계약을 즉시 해제할 수 있으며 사용자는 이를 방해할 수 없다.
제19조,제19조 2항,제19조(귀가 여비),위반으로 계약 해제 시 취업 목적 거주 변경 근로자에게 귀가 여비를 지급해야 하며 사용자는 이를 거절할 수 없다.,제19조(귀가 여비) 위반으로 계약 해제 시 취업 목적 거주 변경 근로자에게 귀가 여비를 지급해야 하며 사용자는 이를 거절할 수 없다.
제20조,제20조,제20조(위약 예정 금지),"근로계약 불이행에 대해 위약금이나 손해배상액을 미리 정하는 계약을 금하며, 사용자는 배상을 빌미로 퇴사를 막을 수 없다.","제20조(위약 예정 금지) 근로계약 불이행에 대해 위약금이나 손해배상액을 미리 정하는 계약을 금하며, 사용자는 배상을 빌미로 퇴사를 막을 수 없다."
제21조,제21조,제21조(전차금 상계),근로할 것을 조건으로 빌려준 돈과 임금을 상계하여 지급을 삭감할 수 없으며 임금 전액 지급 원칙을 준수해야 한다.,제21조(전차금 상계) 근로할 것을 조건으로 빌려준 돈과 임금을 상계하여 지급을 삭감할 수 없으며 임금 전액 지급 원칙을 준수해야 한다.
제22조,제22조 1항,제22조(강제저금 금지),근로계약에 부수하여 강제 저축이나 저축금 관리를 강요하는 계약을 체결할 수 없으며 근로자의 재산권을 침해해선 안 된다.,제22조(강제저금 금지) 근로계약에 부수하여 강제 저축이나 저축금 관리를 강요하는 계약을 체결할 수 없으며 근로자의 재산권을 침해해선 안 된다.
제22조,제22조 2항 1호,제22조(저축 관리),근로자 위탁으로 저축 관리 시 금융기관과 종류를 근로자가 직접 결정하게 해야 하며 사용자가 임의로 결정할 수 없다.,제22조(저축 관리) 근로자 위탁으로 저축 관리 시 금융기관과 종류를 근로자가 직접 결정하게 해야 하며 사용자가 임의로 결정할 수 없다.
제22조,제22조 2항 2호,제22조(즉시 반환),근로자가 저축 자료 열람이나 반환을 요구하면 사용자는 즉시 이에 응해야 하며 반환을 지연하거나 거부할 수 없다.,제22조(즉시 반환) 근로자가 저축 자료 열람이나 반환을 요구하면 사용자는 즉시 이에 응해야 하며 반환을 지연하거나 거부할 수 없다.
제23조,제23조 1항,제23조(해고 제한),"사용자는 정당한 이유 없이 근로자를 해고, 휴직, 정직, 감봉 등 징벌적 처분을 할 수 없으며 권력 남용을 금지한다.","제23조(해고 제한) 사용자는 정당한 이유 없이 근로자를 해고, 휴직, 정직, 감봉 등 징벌적 처분을 할 수 없으며 권력 남용을 금지한다."
제23조,제23조 2항,제23조(해고 금지),업무상 부상 휴업 기간 및 출산 휴가 기간과 그 후 30일 동안은 어떤 이유로도 절대 해고할 수 없다.,제23조(해고 금지) 업무상 부상 휴업 기간 및 출산 휴가 기간과 그 후 30일 동안은 어떤 이유로도 절대 해고할 수 없다.
제24조,제24조 1항,제24조(경영상 해고),"경영상 해고 시 긴박한 경영상 필요가 있어야 하며, 사용자는 해고를 피하기 위한 노력을 다해야 할 의무가 있다.","제24조(경영상 해고) 경영상 해고 시 긴박한 경영상 필요가 있어야 하며, 사용자는 해고를 피하기 위한 노력을 다해야 할 의무가 있다."
제24조,제24조 2항,제24조(해고 기준),합리적이고 공정한 해고 기준을 정하여 대상자를 선정해야 하며 남녀의 성을 이유로 차별적 기준을 적용할 수 없다.,제24조(해고 기준) 합리적이고 공정한 해고 기준을 정하여 대상자를 선정해야 하며 남녀의 성을 이유로 차별적 기준을 적용할 수 없다.
제24조,제24조 3항,제24조(해고 협의),"경영상 해고 시 근로자대표에게 50일 전까지 통보하고, 해고 회피 방법과 기준에 대하여 반드시 성실하게 협의해야 한다.","제24조(해고 협의) 경영상 해고 시 근로자대표에게 50일 전까지 통보하고, 해고 회피 방법과 기준에 대하여 반드시 성실하게 협의해야 한다."
제24조,제24조 4항,제24조(해고 신고),경영상 이유로 일정 규모 이상의 인원을 해고하려면 법정 절차에 따라 고용노동부장관에게 반드시 신고할 의무가 있다.,제24조(해고 신고) 경영상 이유로 일정 규모 이상의 인원을 해고하려면 법정 절차에 따라 고용노동부장관에게 반드시 신고할 의무가 있다.
제24조,제24조 5항,제24조(해고 정당성),제1항부터 제3항까지의 요건을 모두 갖추어 해고한 경우에만 제23조제1항에 따른 정당한 이유가 있는 해고로 인정된다.,제24조(해고 정당성) 제1항부터 제3항까지의 요건을 모두 갖추어 해고한 경우에만 제23조제1항에 따른 정당한 이유가 있는 해고로 인정된다.
제25조,제25조 1항,제25조(우선 재고용),"경영상 해고 후 3년 이내에 같은 업무 근로자 채용 시, 해고된 근로자가 원하면 우선적으로 고용해야 할 의무가 있다.","제25조(우선 재고용) 경영상 해고 후 3년 이내에 같은 업무 근로자 채용 시, 해고된 근로자가 원하면 우선적으로 고용해야 할 의무가 있다."
제25조,제25조 2항,제25조(정부 조치),"정부는 경영상 해고된 근로자에 대하여 재취업, 직업훈련 등 생계안정을 위한 필요한 조치를 우선적으로 취해야 한다.","제25조(정부 조치) 정부는 경영상 해고된 근로자에 대하여 재취업, 직업훈련 등 생계안정을 위한 필요한 조치를 우선적으로 취해야 한다."
제26조,제26조 1항 1호,제26조(해고 예고),"근로자를 해고하려면 적어도 30일 전에 예고해야 하며, 예고하지 않은 경우 30일분 이상의 통상임금을 반드시 지급해야 한다.","제26조(해고 예고) 근로자를 해고하려면 적어도 30일 전에 예고해야 하며, 예고하지 않은 경우 30일분 이상의 통상임금을 반드시 지급해야 한다."
제27조,제27조 1항,제27조(서면 통지),근로자를 해고할 때는 해고 사유와 해고 시기를 서면으로 명확히 통지해야 하며 구두나 문자 통보는 효력이 없다.,제27조(서면 통지) 근로자를 해고할 때는 해고 사유와 해고 시기를 서면으로 명확히 통지해야 하며 구두나 문자 통보는 효력이 없다.
제27조,제27조 2항,제27조(서면 효력),"근로자에 대한 해고는 반드시 서면으로 통지해야만 효력이 발생하며, 서면 통지 절차를 누락한 해고는 절대 무효임.","제27조(서면 효력) 근로자에 대한 해고는 반드시 서면으로 통지해야만 효력이 발생하며, 서면 통지 절차를 누락한 해고는 절대 무효임."
제27조,제27조 3항,제27조(예고 갈음),해고 예고를 서면으로 하면서 사유와 시기를 명시한 경우에만 별도의 해고 통지 의무를 이행한 것으로 인정한다.,제27조(예고 갈음) 해고 예고를 서면으로 하면서 사유와 시기를 명시한 경우에만 별도의 해고 통지 의무를 이행한 것으로 인정한다.
제28조,제28조 1항,제28조(구제 신청),사용자가 부당해고등을 하면 근로자는 노동위원회에 구제를 신청할 권리가 있으며 사용자는 이를 방해할 수 없다.,제28조(구제 신청) 사용자가 부당해고등을 하면 근로자는 노동위원회에 구제를 신청할 권리가 있으며 사용자는 이를 방해할 수 없다.
제28조,제28조 2항,제28조(신청 기한),부당해고등에 대한 구제 신청은 부당해고등이 있었던 날부터 3개월 이내에 해야 하며 이 기간이 지나면 청구권이 소멸한다.,제28조(신청 기한) 부당해고등에 대한 구제 신청은 부당해고등이 있었던 날부터 3개월 이내에 해야 하며 이 기간이 지나면 청구권이 소멸한다.
제29조,제29조 1항,제29조(조사 의무),노동위원회는 구제 신청 접수 시 지체 없이 필요한 조사를 하고 관계 당사자를 심문하여 진실을 규명할 의무가 있다.,제29조(조사 의무) 노동위원회는 구제 신청 접수 시 지체 없이 필요한 조사를 하고 관계 당사자를 심문하여 진실을 규명할 의무가 있다.
제29조,제29조 2항,제29조(증인 심문),심문 시 관계 당사자의 신청이나 직권으로 증인을 출석시켜 질문할 수 있으며 사용자는 증인 출석을 방해해서는 안 된다.,제29조(증인 심문) 심문 시 관계 당사자의 신청이나 직권으로 증인을 출석시켜 질문할 수 있으며 사용자는 증인 출석을 방해해서는 안 된다.
제29조,제29조 3항,제29조(반대 심문),심문 시 당사자에게 증거 제출과 증인에 대한 반대 심문을 할 수 있는 충분한 기회를 법적으로 반드시 보장해야 한다.,제29조(반대 심문) 심문 시 당사자에게 증거 제출과 증인에 대한 반대 심문을 할 수 있는 충분한 기회를 법적으로 반드시 보장해야 한다.
제29조,제29조 4항,제29조(세부 절차),"조사와 심문에 관한 세부 절차는 노동위원회법을 따르며, 사용자와 근로자는 정해진 법적 절차를 엄격히 준수해야 한다.","제29조(세부 절차) 조사와 심문에 관한 세부 절차는 노동위원회법을 따르며, 사용자와 근로자는 정해진 법적 절차를 엄격히 준수해야 한다."
제30조,제30조 1항,제30조(구제 명령),"부당해고 판정 시 노동위원회는 사용자에게 구제 명령을 내려야 하며, 정당한 해고일 경우에만 신청을 기각할 수 있다.","제30조(구제 명령) 부당해고 판정 시 노동위원회는 사용자에게 구제 명령을 내려야 하며, 정당한 해고일 경우에만 신청을 기각할 수 있다."
제30조,제30조 2항,제30조(서면 통지),구제 명령 및 기각 결정은 사용자와 근로자에게 각각 서면으로 통지해야 하며 통지 없는 결정은 효력을 인정받기 어려움.,제30조(서면 통지) 구제 명령 및 기각 결정은 사용자와 근로자에게 각각 서면으로 통지해야 하며 통지 없는 결정은 효력을 인정받기 어려움.
